,cc,NZ,N,Z,A,el,o,mass,mass_err,binding,binding_err,B,beta,beta_err,u,atomic_mass,atomic_mass_err,umass,umass_err,precision,abundancy,halflife
59,,4,9,5,14,B,,23663.686,21.213,6101.6451,1.5152,B-,20643.7926,21.2133,14,25404.01,22.773,14.02540401,2.2773e-05,1.6236965426281505e-06,0.0,0.0125
60,,2,8,6,14,C,,3019.89328,0.00375,7520.3198,0.0004,B-,156.4765,0.0037,14,3241.98862,0.00403,14.00324198862,4.0299999999999995e-09,2.877904990340848e-10,0.0,180825048000.0
61,,0,7,7,14,N,,2863.41683,0.00022,7475.6148,0.0002,B-,-5144.3643,0.0252,14,3074.00425,0.00024,14.00307400425,2.4e-10,1.713909388232604e-11,99.578,inf
62,,-2,6,8,14,O,,8007.781,0.025,7052.2783,0.0018,B-,-23956.6215,41.1187,14,8596.706,0.027,14.008596706,2.6999999999999997e-08,1.927387915196079e-09,0.0,70.62
63,,-4,5,9,14,F,-p,31964.403,41.119,5285.2091,2.9371,B-,,,14,34315.196,44.142,14.034315196,4.4142e-05,3.145290623982933e-06,0.0,5e-22
64,0,7,11,4,15,Be,-n,49825.821,165.797,4540.9708,11.0532,B-,20868.4411,167.1256,15,53490.215,177.99,15.053490215,0.00017799,1.1823836031237623e-05,0.0,7.9e-22
65,,5,10,5,15,B,,28957.379,21.029,5880.0438,1.4019,B-,19084.2343,21.0442,15,31087.023,22.575,15.031087023,2.2575e-05,1.5018873861522183e-06,0.0,0.00993
66,,3,9,6,15,C,-n,9873.145,0.8,7100.1696,0.0533,B-,9771.7071,0.8,15,10599.256,0.858,15.010599256,8.58e-07,5.715961004401888e-08,0.0,2.449
67,,1,8,7,15,N,,101.43809,0.00058,7699.4603,0.0002,B-,-2754.1841,0.4902,15,108.89827,0.00062,15.00010889827,6.199999999999999e-10,4.133303326027893e-11,0.422,inf
68,,-1,7,8,15,O,,2855.622,0.49,7463.6915,0.0327,B-,-13711.13,14.0086,15,3065.636,0.526,15.003065636,5.26e-07,3.5059501355366864e-08,0.0,122.24
69,,-3,6,9,15,F,-p,16566.752,14.0,6497.4597,0.9333,B-,-23648.6215,68.1377,15,17785.139,15.029,15.017785139,1.5029e-05,1.0007467719704469e-06,0.0,1.1e-21
70,,-5,5,10,15,Ne,-pp,40215.374,66.684,4868.7285,4.4456,B-,,,15,43172.977,71.588,15.043172977,7.158799999999999e-05,4.758836457538129e-06,0.0,0.0
71,0,8,12,4,16,Be,-nn,57447.139,165.797,4285.2851,10.3623,B-,20335.4399,167.6075,16,61672.036,177.99,16.061672036,0.00017799,1.1081660713844748e-05,0.0,6.5e-22
72,,6,11,5,16,B,,37111.699,24.566,5507.3535,1.5354,B-,23417.5656,24.8254,16,39841.045,26.373,16.039841045,2.6373e-05,1.6442182890722032e-06,0.0,4e-15
73,,4,10,6,16,C,-nn,13694.133,3.578,6922.0546,0.2236,B-,8010.226,4.254,16,14701.255,3.84,16.014701255,3.84e-06,2.3977968360796627e-07,0.0,0.747
74,,2,9,7,16,N,-n,5683.907,2.301,7373.7971,0.1438,B-,10420.9094,2.3014,16,6101.925,2.47,16.006101925,2.47e-06,1.5431614840226005e-07,0.0,7.13
75,,0,8,8,16,O,,-4737.00217,0.0003,7976.2072,0.0002,B-,-15412.184,5.3642,15,994914.61926,0.00032,15.99491461926,3.2000000000000003e-10,2.000635874696559e-11,99.738,inf
76,,-2,7,9,16,F,,10675.182,5.364,6964.049,0.3353,B-,-13311.5932,21.1709,16,11460.278,5.758,16.011460278,5.758e-06,3.5961741777616513e-07,0.0,1.1e-20
77,,-4,6,10,16,Ne,--,23986.775,20.48,6083.1777,1.28,B-,,,16,25750.86,21.986,16.02575086,2.1986e-05,1.3719169973418645e-06,0.0,5e-15
78,0,7,12,5,17,B,x,43716.322,204.104,5269.6677,12.0061,B-,22684.4422,204.841,17,46931.399,219.114,17.046931399,0.000219114,1.2853574339652328e-05,0.0,0.00508
79,,5,11,6,17,C,2p-n,21031.88,17.365,6558.0262,1.0215,B-,13161.8007,22.9464,17,22578.65,18.641,17.02257865,1.8640999999999997e-05,1.095074981486427e-06,0.0,0.193
80,,3,10,7,17,N,+p,7870.079,15.0,7286.2294,0.8824,B-,8678.843,15.0,17,8448.876,16.103,17.008448876,1.6103e-05,9.467647589382684e-07,0.0,4.173
81,,1,9,8,17,O,,-808.76421,0.00064,7750.7291,0.0002,B-,-2760.4655,0.2479,16,999131.75595,0.00069,16.99913175595,6.899999999999999e-10,4.059030837021941e-11,0.04,inf
82,,-1,8,9,17,F,,1951.701,0.248,7542.3284,0.0146,B-,-14548.7507,0.4323,17,2095.237,0.266,17.002095237,2.66e-07,1.5645130573150198e-08,0.0,64.37
83,,-3,7,10,17,Ne,,16500.452,0.354,6640.4991,0.0208,B-,-18219.1277,59.6167,17,17713.962,0.38,17.017713962,3.7999999999999996e-07,2.2329673706381926e-08,0.0,0.1092
84,,-5,6,11,17,Na,x,34719.58,59.616,5522.7653,3.5068,B-,,,17,37273.0,64.0,17.037273,6.4e-05,3.7564697120249233e-06,0.0,0.0
85,0,8,13,5,18,B,-n,51792.64,204.165,4976.6306,11.3425,B-,26873.3742,206.3572,18,55601.683,219.18,18.055601683,0.00021918,1.2139168987448692e-05,0.0,2.6e-08
86,,6,12,6,18,C,++,24919.266,30.0,6426.1321,1.6667,B-,11806.0982,35.2821,18,26751.93,32.206,18.02675193,3.2206e-05,1.786566993602602e-06,0.0,0.092
87,,4,11,7,18,N,+,13113.167,18.57,7038.5627,1.0316,B-,13895.9838,18.5695,18,14077.563,19.935,18.014077563,1.9934999999999998e-05,1.1066345157159462e-06,0.0,0.6192
88,,2,10,8,18,O,,-782.81634,0.00064,7767.0981,0.0002,B-,-1655.9288,0.4633,17,999159.61214,0.00069,17.99915961214,6.899999999999999e-10,3.833512313178286e-11,0.222,inf
