Z	species	charge_state	el_name	isoelectric	ground_shells	groud_level	ionized_level	ie	ie_err	reference
20	CaII	1	Calcium	K	Ar4s	2S1/2	3p61S0	11.871719	0.000004	L7185,L7323
20	CaIII	2	Calcium	Ar	Ne3s23p6	1S0	3p52P°3/2	50.91316	0.00025	L1405
20	CaIV	3	Calcium	Cl	Ne3s23p5	2P°3/2	3p43P2	67.2732	0.0021	L11770
20	CaV	4	Calcium	S	Ne3s23p4	3P2	3p34S°3/2	84.34	0.08	L11770
20	CaVI	5	Calcium	P	Ne3s23p3	4S°3/2	3p23P0	108.78	0.25	L7185
20	CaVII	6	Calcium	Si	Ne3s23p2	3P0	3p2P°1/2	127.21	0.25	L7185
20	CaVIII	7	Calcium	Al	Ne3s23p	2P°1/2	3s21S0	147.24	0.12	L7185
20	CaIX	8	Calcium	Mg	Ne3s2	1S0	3s2S1/2	188.54	0.06	L7185
20	CaX	9	Calcium	Na	Ne3s	2S1/2	2p61S0	211.275	0.004	L11770
20	CaXI	10	Calcium	Ne	1s22s22p6	1S0	2p52P°3/2	591.60	0.12	L11770
20	CaXII	11	Calcium	F	1s22s22p5	2P°3/2	2p43P2	658.2	0.9	L11770
20	CaXIII	12	Calcium	O	1s22s22p4	3P2	2p34S°3/2	728.6	1.1	L11770
20	CaXIV	13	Calcium	N	1s22s22p3	4S°3/2	2p23P0	817.2	0.6	L11770
20	CaXV	14	Calcium	C	1s22s22p2	3P0	2p2P°1/2	894.0	0.4	L11770
20	CaXVI	15	Calcium	B	1s22s22p	2P°1/2	2s21S0	973.7	0.3	L11770
20	CaXVII	16	Calcium	Be	1s22s2	1S0	2s2S1/2	1086.8	0.4	L11770
20	CaXVIII	17	Calcium	Li	1s22s	2S1/2	1s21S0	1157.726	0.007	L16264c99
20	CaXIX	18	Calcium	He	1s2	1S0	1s2S1/2	5128.8578	0.0005	L12128
20	CaXX	19	Calcium	H	1s	2S1/2		5469.8616	0.0010	L7188
21	ScI	0	Scandium	Sc	Ar3d4s2	2D3/2	3d4s3D1	6.56149	0.00006	L7185,L2110
21	ScII	1	Scandium	Ca	Ar3d4s	3D1	3d2D3/2	12.79977	0.00025	L7185,L5141
21	ScIII	2	Scandium	K	Ar3d	2D3/2	3p61S0	24.756839	0.000012	L1891,L7185
21	ScIV	3	Scandium	Ar	Ne3s23p6	1S0	3p52P°3/2	73.4894	0.0004	L7185,L2826
21	ScV	4	Scandium	Cl	Ne3s23p5	2P°3/2	3p43P2	91.95	0.03	L11770
21	ScVI	5	Scandium	S	Ne3s23p4	3P2	3p34S°3/2	110.68	0.05	L7185
21	ScVII	6	Scandium	P	Ne3s23p3	4S°3/2	3p23P0	137.99	0.25	L7185
21	ScVIII	7	Scandium	Si	Ne3s23p2	3P0	3p2P°1/2	158.08	0.25	L7185
21	ScIX	8	Scandium	Al	Ne3s23p	2P°1/2	3s21S0	180.03	0.12	L7185
21	ScX	9	Scandium	Mg	Ne3s2	1S0	3s2S1/2	225.18	0.05	L7185
21	ScXI	10	Scandium	Na	Ne3s	2S1/2	2p61S0	249.798	0.005	L10106
21	ScXII	11	Scandium	Ne	1s22s22p6	1S0	2p52P°3/2	687.36	0.12	L7185
21	ScXIII	12	Scandium	F	1s22s22p5	2P°3/2	2p43P2	757.7	1.0	L11770
21	ScXIV	13	Scandium	O	1s22s22p4	3P2	2p34S°3/2	833.2	1.4	L11770
21	ScXV	14	Scandium	N	1s22s22p3	4S°3/2	2p23P0	926.5	0.7	L11770
21	ScXVI	15	Scandium	C	1s22s22p2	3P0	2p2P°1/2	1008.6	0.4	L11770
21	ScXVII	16	Scandium	B	1s22s22p	2P°1/2	2s21S0	1093.5	0.4	L11770
21	ScXVIII	17	Scandium	Be	1s22s2	1S0	2s2S1/2	1213.1	0.4	L11770
21	ScXIX	18	Scandium	Li	1s22s	2S1/2	1s21S0	1287.957	0.007	L16264c99
21	ScXX	19	Scandium	He	1s2	1S0	1s2S1/2	5674.9037	0.0006	L12128
21	ScXXI	20	Scandium	H	1s	2S1/2		6033.7542	0.0012	L7188
22	TiI	0	Titanium	Ti	Ar3d24s2	3F2	3d24s4F3/2	6.828120	0.000012	L17996
22	TiII	1	Titanium	Sc	Ar3d24s	4F3/2	3d23F2	13.5755	0.0025	L7185,L5432
22	TiIII	2	Titanium	Ca	Ar3d2	3F2	3d2D3/2	27.49171	0.00025	L7185,L3593
22	TiIV	3	Titanium	K	Ar3d	2D3/2	3p61S0	43.26717	0.00019	L7185,L2753
22	TiV	4	Titanium	Ar	Ne3s23p6	1S0	3p52P°3/2	99.299	0.012	L7185
22	TiVI	5	Titanium	Cl	Ne3s23p5	2P°3/2	3p43P2	119.533	0.025	L7185
22	TiVII	6	Titanium	S	Ne3s23p4	3P2	3p34S°3/2	140.68	0.18	L11770
22	TiVIII	7	Titanium	P	Ne3s23p3	4S°3/2	3p23P0	170.5	0.4	L11770
22	TiIX	8	Titanium	Si	Ne3s23p2	3P0	3p2P°1/2	192.1	0.4	L7185
22	TiX	9	Titanium	Al	Ne3s23p	2P°1/2	3s21S0	215.92	0.12	L7185
22	TiXI	10	Titanium	Mg	Ne3s2	1S0	3s2S1/2	265.07	0.06	L7185
22	TiXII	11	Titanium	Na	Ne3s	2S1/2	2p61S0	291.500	0.005	L11770
22	TiXIII	12	Titanium	Ne	1s22s22p6	1S0	2p52P°3/2	787.67	0.04	L11691
22	TiXIV	13	Titanium	F	1s22s22p5	2P°3/2	2p43P2	864.0	1.2	L11770
22	TiXV	14	Titanium	O	1s22s22p4	3P2	2p34S°3/2	944.5	1.6	L11770
22	TiXVI	15	Titanium	N	1s22s22p3	4S°3/2	2p23P0	1042.5	0.8	L11770
22	TiXVII	16	Titanium	C	1s22s22p2	3P0	2p2P°1/2	1130.2	0.5	L11770
22	TiXVIII	17	Titanium	B	1s22s22p	2P°1/2	2s21S0	1220.3	0.5	L11770
22	TiXIX	18	Titanium	Be	1s22s2	1S0	2s2S1/2	1346.3	0.5	L11770
22	TiXX	19	Titanium	Li	1s22s	2S1/2	1s21S0	1425.257	0.007	L16264c99
22	TiXXI	20	Titanium	He	1s2	1S0	1s2S1/2	6249.0226	0.0006	L12128
22	TiXXII	21	Titanium	H	1s	2S1/2		6625.8073	0.0012	L7188
23	VI	0	Vanadium	V	Ar3d34s2	4F3/2	3d45D0	6.746187	0.000021	L17712,L20010
23	VII	1	Vanadium	Ti	Ar3d4	5D0	3d34F3/2	14.634	0.007	L20009
23	VIII	2	Vanadium	Sc	Ar3d3	4F3/2	3d23F2	29.3111	0.0025	L7185,L704,L4746
23	VIV	3	Vanadium	Ca	Ar3d2	3F2	3d2D3/2	46.709	0.005	L7185,L147
23	VV	4	Vanadium	K	Ar3d	2D3/2	3p61S0	65.28165	0.00017	L3917,L7185
23	VVI	5	Vanadium	Ar	Ne3s23p6	1S0	3p52P°3/2	128.125	0.025	L7185
23	VVII	6	Vanadium	Cl	Ne3s23p5	2P°3/2	3p43P2	150.72	0.13	L11770
23	VVIII	7	Vanadium	S	Ne3s23p4	3P2	3p34S°3/2	173.55	0.21	L11770
23	VIX	8	Vanadium	P	Ne3s23p3	4S°3/2	3p23P0	206.0	0.4	L11770
23	VX	9	Vanadium	Si	Ne3s23p2	3P0	3p2P°1/2	230.5	0.5	L7185
23	VXI	10	Vanadium	Al	Ne3s23p	2P°1/2	3s21S0	254.8	0.4	L11770
23	VXII	11	Vanadium	Mg	Ne3s2	1S0	3s2S1/2	308.5	0.3	L11770
23	VXIII	12	Vanadium	Na	Ne3s	2S1/2	2p61S0	336.274	0.006	L11770
23	VXIV	13	Vanadium	Ne	1s22s22p6	1S0	2p52P°3/2	896.0	0.4	L7185
23	VXV	14	Vanadium	F	1s22s22p5	2P°3/2	2p43P2	977.2	1.3	L11770
23	VXVI	15	Vanadium	O	1s22s22p4	3P2	2p34S°3/2	1062.9	2.0	L11770
23	VXVII	16	Vanadium	N	1s22s22p3	4S°3/2	2p23P0	1165.2	1.1	L11770
23	VXVIII	17	Vanadium	C	1s22s22p2	3P0	2p2P°1/2	1258.9	0.6	L11770
23	VXIX	18	Vanadium	B	1s22s22p	2P°1/2	2s21S0	1354.2	0.5	L11770
23	VXX	19	Vanadium	Be	1s22s2	1S0	2s2S1/2	1486.7	0.5	L11770
23	VXXI	20	Vanadium	Li	1s22s	2S1/2	1s21S0	1569.656	0.007	L16264c99
23	VXXII	21	Vanadium	He	1s2	1S0	1s2S1/2	6851.3109	0.0007	L12128
23	VXXIII	22	Vanadium	H	1s	2S1/2		7246.1226	0.0012	L7188
24	CrI	0	Chromium	Cr	Ar3d54s	7S3	3d56S5/2	6.76651	0.00004	L7185,L2832
24	CrII	1	Chromium	V	Ar3d5	6S5/2	3d45D0	16.486305	0.000015	L18847
